"","country","year","sex","age","suicides_no","population"
"117","Albania",1998,"male","35-54 years",29,388200
"118","Albania",1998,"male","5-14 years",2,388400
"119","Albania",1998,"male","55-74 years",9,183800
"120","Albania",1998,"male","75+ years",3,25800
"121","Albania",1999,"female","15-24 years",19,296800
"122","Albania",1999,"female","25-34 years",13,276500
"123","Albania",1999,"female","35-54 years",5,373600
"124","Albania",1999,"female","5-14 years",1,365200
"125","Albania",1999,"female","55-74 years",6,188800
"126","Albania",1999,"female","75+ years",4,42400
"127","Albania",1999,"male","15-24 years",24,250600
"128","Albania",1999,"male","25-34 years",19,242300
"129","Albania",1999,"male","35-54 years",31,391100
"130","Albania",1999,"male","5-14 years",0,391300
"131","Albania",1999,"male","55-74 years",14,185200
"132","Albania",1999,"male","75+ years",3,25900
"133","Albania",2000,"female","15-24 years",6,263900
"134","Albania",2000,"female","25-34 years",3,245800
"135","Albania",2000,"female","35-54 years",5,332200
"136","Albania",2000,"female","5-14 years",0,324700
"137","Albania",2000,"female","55-74 years",0,168000
"138","Albania",2000,"female","75+ years",2,37800
"139","Albania",2000,"male","15-24 years",5,240000
"140","Albania",2000,"male","25-34 years",17,232000
"141","Albania",2000,"male","35-54 years",4,374700
"142","Albania",2000,"male","5-14 years",1,374900
"143","Albania",2000,"male","55-74 years",10,177400
"144","Albania",2000,"male","75+ years",1,24900
"145","Albania",2001,"female","15-24 years",9,271359
"146","Albania",2001,"female","25-34 years",4,222771
"147","Albania",2001,"female","35-54 years",12,370191
"148","Albania",2001,"female","5-14 years",2,307356
"149","Albania",2001,"female","55-74 years",6,189799
"150","Albania",2001,"female","75+ years",2,47254
"151","Albania",2001,"male","15-24 years",10,256039
"152","Albania",2001,"male","25-34 years",22,206484
"153","Albania",2001,"male","35-54 years",34,378826
"154","Albania",2001,"male","5-14 years",6,321556
"155","Albania",2001,"male","55-74 years",11,196670
"156","Albania",2001,"male","75+ years",1,31044
"157","Albania",2002,"female","15-24 years",14,275970
"158","Albania",2002,"female","25-34 years",7,223685
"159","Albania",2002,"female","35-54 years",15,375113
"160","Albania",2002,"female","5-14 years",1,304850
"161","Albania",2002,"female","55-74 years",4,191712
"162","Albania",2002,"female","75+ years",1,47407
"163","Albania",2002,"male","15-24 years",15,263067
"164","Albania",2002,"male","25-34 years",23,206286
"165","Albania",2002,"male","35-54 years",35,382139
"166","Albania",2002,"male","5-14 years",1,319473
"167","Albania",2002,"male","55-74 years",13,198130
"168","Albania",2002,"male","75+ years",4,31007
"169","Albania",2003,"female","15-24 years",14,283709
"170","Albania",2003,"female","25-34 years",9,222941
"171","Albania",2003,"female","35-54 years",13,381760
"172","Albania",2003,"female","5-14 years",0,298477
"173","Albania",2003,"female","55-74 years",9,195699
"174","Albania",2003,"female","75+ years",6,49088
"175","Albania",2003,"male","15-24 years",15,273235
"176","Albania",2003,"male","25-34 years",9,205433
"177","Albania",2003,"male","35-54 years",28,386196
"178","Albania",2003,"male","5-14 years",4,313204
"179","Albania",2003,"male","55-74 years",16,201520
"180","Albania",2003,"male","75+ years",1,32667
"181","Albania",2004,"female","15-24 years",20,292268
"182","Albania",2004,"female","25-34 years",11,222389
"183","Albania",2004,"female","35-54 years",17,391436
"184","Albania",2004,"female","5-14 years",3,286705
"185","Albania",2004,"female","55-74 years",3,203841
"186","Albania",2004,"female","75+ years",3,50970
"187","Albania",2004,"male","15-24 years",19,286768
"188","Albania",2004,"male","25-34 years",16,203938
"189","Albania",2004,"male","35-54 years",39,391767
"190","Albania",2004,"male","5-14 years",1,302181
"191","Albania",2004,"male","55-74 years",10,207202
"192","Albania",2004,"male","75+ years",4,35526
"193","Albania",2005,"female","15-24 years",0,281922
"194","Albania",2005,"female","25-34 years",0,190745
"195","Albania",2005,"female","35-54 years",0,386513
"196","Albania",2005,"female","5-14 years",0,276559
"197","Albania",2005,"female","55-74 years",0,210998
"198","Albania",2005,"female","75+ years",0,53191
"199","Albania",2005,"male","15-24 years",0,281675
"200","Albania",2005,"male","25-34 years",0,177519
"201","Albania",2005,"male","35-54 years",0,380242
"202","Albania",2005,"male","5-14 years",0,291367
"203","Albania",2005,"male","55-74 years",0,214118
"204","Albania",2005,"male","75+ years",0,38471
"205","Albania",2006,"female","15-24 years",0,283138
"206","Albania",2006,"female","25-34 years",0,186391
"207","Albania",2006,"female","35-54 years",0,388746
"208","Albania",2006,"female","5-14 years",0,267316
"209","Albania",2006,"female","55-74 years",0,215907
"210","Albania",2006,"female","75+ years",0,56011
"211","Albania",2006,"male","15-24 years",0,286679
"212","Albania",2006,"male","25-34 years",0,174092
"213","Albania",2006,"male","35-54 years",0,379076
"214","Albania",2006,"male","5-14 years",0,282678
"215","Albania",2006,"male","55-74 years",0,219360
"216","Albania",2006,"male","75+ years",0,40782
"217","Albania",2007,"female","15-24 years",13,281080
"218","Albania",2007,"female","25-34 years",8,183629
"219","Albania",2007,"female","35-54 years",14,391811
"220","Albania",2007,"female","5-14 years",0,256808
"221","Albania",2007,"female","55-74 years",9,221120
"222","Albania",2007,"female","75+ years",3,57404
"223","Albania",2007,"male","15-24 years",13,288349
"224","Albania",2007,"male","25-34 years",9,172494
"225","Albania",2007,"male","35-54 years",29,378626
"226","Albania",2007,"male","5-14 years",4,272497
"227","Albania",2007,"male","55-74 years",14,224160
"228","Albania",2007,"male","75+ years",8,42366
"229","Albania",2008,"female","15-24 years",20,276073
"230","Albania",2008,"female","25-34 years",9,182663
"231","Albania",2008,"female","35-54 years",19,393832
"232","Albania",2008,"female","5-14 years",1,246288
"233","Albania",2008,"female","55-74 years",7,226448
"234","Albania",2008,"female","75+ years",5,59369
"235","Albania",2008,"male","15-24 years",11,286702
"236","Albania",2008,"male","25-34 years",21,172855
"237","Albania",2008,"male","35-54 years",37,377119
