"","country","year","sex","age","suicides_no","population"
"5990","Bulgaria",2000,"female","25-34 years",37,570536
"5991","Bulgaria",2000,"female","35-54 years",97,1165489
"5992","Bulgaria",2000,"female","5-14 years",0,459736
"5993","Bulgaria",2000,"female","55-74 years",128,971686
"5994","Bulgaria",2000,"female","75+ years",100,282130
"5995","Bulgaria",2000,"male","15-24 years",54,605944
"5996","Bulgaria",2000,"male","25-34 years",102,587705
"5997","Bulgaria",2000,"male","35-54 years",371,1127394
"5998","Bulgaria",2000,"male","5-14 years",5,482907
"5999","Bulgaria",2000,"male","55-74 years",289,813692
"6000","Bulgaria",2000,"male","75+ years",180,186383
"6001","Bulgaria",2001,"female","15-24 years",25,539883
"6002","Bulgaria",2001,"female","25-34 years",21,549756
"6003","Bulgaria",2001,"female","35-54 years",94,1123319
"6004","Bulgaria",2001,"female","5-14 years",4,429090
"6005","Bulgaria",2001,"female","55-74 years",118,963174
"6006","Bulgaria",2001,"female","75+ years",101,298153
"6007","Bulgaria",2001,"male","15-24 years",63,569649
"6008","Bulgaria",2001,"male","25-34 years",100,569711
"6009","Bulgaria",2001,"male","35-54 years",301,1099625
"6010","Bulgaria",2001,"male","5-14 years",4,451423
"6011","Bulgaria",2001,"male","55-74 years",321,805300
"6012","Bulgaria",2001,"male","75+ years",162,192843
"6013","Bulgaria",2002,"female","15-24 years",23,533586
"6014","Bulgaria",2002,"female","25-34 years",21,557945
"6015","Bulgaria",2002,"female","35-54 years",77,1110364
"6016","Bulgaria",2002,"female","5-14 years",3,408024
"6017","Bulgaria",2002,"female","55-74 years",117,964392
"6018","Bulgaria",2002,"female","75+ years",95,308008
"6019","Bulgaria",2002,"male","15-24 years",51,562398
"6020","Bulgaria",2002,"male","25-34 years",100,579234
"6021","Bulgaria",2002,"male","35-54 years",315,1087841
"6022","Bulgaria",2002,"male","5-14 years",6,429978
"6023","Bulgaria",2002,"male","55-74 years",328,804080
"6024","Bulgaria",2002,"male","75+ years",181,198560
"6025","Bulgaria",2003,"female","15-24 years",13,527203
"6026","Bulgaria",2003,"female","25-34 years",23,561600
"6027","Bulgaria",2003,"female","35-54 years",67,1101408
"6028","Bulgaria",2003,"female","5-14 years",6,386539
"6029","Bulgaria",2003,"female","55-74 years",108,966825
"6030","Bulgaria",2003,"female","75+ years",75,315963
"6031","Bulgaria",2003,"male","15-24 years",49,555686
"6032","Bulgaria",2003,"male","25-34 years",69,583953
"6033","Bulgaria",2003,"male","35-54 years",261,1080294
"6034","Bulgaria",2003,"male","5-14 years",6,407671
"6035","Bulgaria",2003,"male","55-74 years",251,803660
"6036","Bulgaria",2003,"male","75+ years",164,202364
"6037","Bulgaria",2004,"female","15-24 years",12,520846
"6038","Bulgaria",2004,"female","25-34 years",14,560854
"6039","Bulgaria",2004,"female","35-54 years",75,1094568
"6040","Bulgaria",2004,"female","5-14 years",3,367936
"6041","Bulgaria",2004,"female","55-74 years",105,971907
"6042","Bulgaria",2004,"female","75+ years",58,323883
"6043","Bulgaria",2004,"male","15-24 years",40,548773
"6044","Bulgaria",2004,"male","25-34 years",74,584214
"6045","Bulgaria",2004,"male","35-54 years",238,1075305
"6046","Bulgaria",2004,"male","5-14 years",5,387953
"6047","Bulgaria",2004,"male","55-74 years",247,805166
"6048","Bulgaria",2004,"male","75+ years",142,206158
"6049","Bulgaria",2005,"female","15-24 years",20,513893
"6050","Bulgaria",2005,"female","25-34 years",21,559525
"6051","Bulgaria",2005,"female","35-54 years",56,1085400
"6052","Bulgaria",2005,"female","5-14 years",3,352518
"6053","Bulgaria",2005,"female","55-74 years",84,978437
"6054","Bulgaria",2005,"female","75+ years",71,331686
"6055","Bulgaria",2005,"male","15-24 years",39,540814
"6056","Bulgaria",2005,"male","25-34 years",76,583573
"6057","Bulgaria",2005,"male","35-54 years",214,1068843
"6058","Bulgaria",2005,"male","5-14 years",3,371764
"6059","Bulgaria",2005,"male","55-74 years",269,807787
"6060","Bulgaria",2005,"male","75+ years",126,209811
"6061","Bulgaria",2006,"female","15-24 years",11,504961
"6062","Bulgaria",2006,"female","25-34 years",17,558543
"6063","Bulgaria",2006,"female","35-54 years",53,1077713
"6064","Bulgaria",2006,"female","5-14 years",0,340240
"6065","Bulgaria",2006,"female","55-74 years",73,981962
"6066","Bulgaria",2006,"female","75+ years",71,338232
"6067","Bulgaria",2006,"male","15-24 years",45,531167
"6068","Bulgaria",2006,"male","25-34 years",79,582969
"6069","Bulgaria",2006,"male","35-54 years",196,1063959
"6070","Bulgaria",2006,"male","5-14 years",4,358730
"6071","Bulgaria",2006,"male","55-74 years",274,807552
"6072","Bulgaria",2006,"male","75+ years",154,212480
"6073","Bulgaria",2007,"female","15-24 years",9,493056
"6074","Bulgaria",2007,"female","25-34 years",15,558209
"6075","Bulgaria",2007,"female","35-54 years",58,1072051
"6076","Bulgaria",2007,"female","5-14 years",5,331138
"6077","Bulgaria",2007,"female","55-74 years",82,981661
"6078","Bulgaria",2007,"female","75+ years",70,344739
"6079","Bulgaria",2007,"male","15-24 years",39,518624
"6080","Bulgaria",2007,"male","25-34 years",55,583293
"6081","Bulgaria",2007,"male","35-54 years",180,1061001
"6082","Bulgaria",2007,"male","5-14 years",0,349244
"6083","Bulgaria",2007,"male","55-74 years",238,804233
"6084","Bulgaria",2007,"male","75+ years",151,215225
"6085","Bulgaria",2008,"female","15-24 years",10,479334
"6086","Bulgaria",2008,"female","25-34 years",21,555973
"6087","Bulgaria",2008,"female","35-54 years",41,1066979
"6088","Bulgaria",2008,"female","5-14 years",1,324354
"6089","Bulgaria",2008,"female","55-74 years",106,980953
"6090","Bulgaria",2008,"female","75+ years",66,352453
"6091","Bulgaria",2008,"male","15-24 years",48,504391
"6092","Bulgaria",2008,"male","25-34 years",60,581969
"6093","Bulgaria",2008,"male","35-54 years",205,1058360
"6094","Bulgaria",2008,"male","5-14 years",1,342263
"6095","Bulgaria",2008,"male","55-74 years",248,801793
"6096","Bulgaria",2008,"male","75+ years",132,218689
"6097","Bulgaria",2009,"female","15-24 years",9,463505
"6098","Bulgaria",2009,"female","25-34 years",13,548235
"6099","Bulgaria",2009,"female","35-54 years",49,1064955
"6100","Bulgaria",2009,"female","5-14 years",0,320318
"6101","Bulgaria",2009,"female","55-74 years",72,979605
"6102","Bulgaria",2009,"female","75+ years",63,360613
"6103","Bulgaria",2009,"male","15-24 years",29,487528
"6104","Bulgaria",2009,"male","25-34 years",60,575940
"6105","Bulgaria",2009,"male","35-54 years",211,1058524
"6106","Bulgaria",2009,"male","5-14 years",1,338266
"6107","Bulgaria",2009,"male","55-74 years",241,799938
"6108","Bulgaria",2009,"male","75+ years",120,222390
"6109","Bulgaria",2010,"female","15-24 years",8,444943
"6110","Bulgaria",2010,"female","25-34 years",11,537199
"6111","Bulgaria",2010,"female","35-54 years",57,1061049
"6112","Bulgaria",2010,"female","5-14 years",0,319676
"6113","Bulgaria",2010,"female","55-74 years",74,979427
"6114","Bulgaria",2010,"female","75+ years",60,366672
"6115","Bulgaria",2010,"male","15-24 years",35,467481
"6116","Bulgaria",2010,"male","25-34 years",57,566462
"6117","Bulgaria",2010,"male","35-54 years",202,1058086
"6118","Bulgaria",2010,"male","5-14 years",1,338094
"6119","Bulgaria",2010,"male","55-74 years",217,799085
"6120","Bulgaria",2010,"male","75+ years",137,224566
"6121","Bulgaria",2011,"female","15-24 years",11,419980
"6122","Bulgaria",2011,"female","25-34 years",7,509076
"6123","Bulgaria",2011,"female","35-54 years",41,1036483
"6124","Bulgaria",2011,"female","5-14 years",0,314076
"6125","Bulgaria",2011,"female","55-74 years",51,990352
"6126","Bulgaria",2011,"female","75+ years",48,372993
"6127","Bulgaria",2011,"male","15-24 years",36,442991
"6128","Bulgaria",2011,"male","25-34 years",59,543115
"6129","Bulgaria",2011,"male","35-54 years",201,1054285
"6130","Bulgaria",2011,"male","5-14 years",2,332601
"6131","Bulgaria",2011,"male","55-74 years",209,813732
"6132","Bulgaria",2011,"male","75+ years",98,226843
"6133","Bulgaria",2012,"female","15-24 years",14,394971
"6134","Bulgaria",2012,"female","25-34 years",13,482889
"6135","Bulgaria",2012,"female","35-54 years",46,1014327
"6136","Bulgaria",2012,"female","5-14 years",0,310187
"6137","Bulgaria",2012,"female","55-74 years",65,1000743
"6138","Bulgaria",2012,"female","75+ years",61,378562
"6139","Bulgaria",2012,"male","15-24 years",45,418715
"6140","Bulgaria",2012,"male","25-34 years",62,520738
"6141","Bulgaria",2012,"male","35-54 years",181,1052298
"6142","Bulgaria",2012,"male","5-14 years",1,328547
"6143","Bulgaria",2012,"male","55-74 years",244,828882
"6144","Bulgaria",2012,"male","75+ years",140,228793
"6145","Bulgaria",2013,"female","15-24 years",6,374785
"6146","Bulgaria",2013,"female","25-34 years",12,477076
"6147","Bulgaria",2013,"female","35-54 years",41,1012070
"6148","Bulgaria",2013,"female","5-14 years",1,315034
"6149","Bulgaria",2013,"female","55-74 years",41,1002925
"6150","Bulgaria",2013,"female","75+ years",47,380633
"6151","Bulgaria",2013,"male","15-24 years",32,397784
"6152","Bulgaria",2013,"male","25-34 years",56,514523
"6153","Bulgaria",2013,"male","35-54 years",164,1052928
"6154","Bulgaria",2013,"male","5-14 years",1,333559
"6155","Bulgaria",2013,"male","55-74 years",207,831118
"6156","Bulgaria",2013,"male","75+ years",113,228209
"6157","Bulgaria",2014,"female","15-24 years",5,356406
"6158","Bulgaria",2014,"female","25-34 years",13,472176
"6159","Bulgaria",2014,"female","35-54 years",33,1009528
"6160","Bulgaria",2014,"female","5-14 years",0,319134
"6161","Bulgaria",2014,"female","55-74 years",54,1005439
"6162","Bulgaria",2014,"female","75+ years",67,382347
"6163","Bulgaria",2014,"male","15-24 years",33,378681
"6164","Bulgaria",2014,"male","25-34 years",47,508827
"6165","Bulgaria",2014,"male","35-54 years",156,1052572
"6166","Bulgaria",2014,"male","5-14 years",2,337969
"6167","Bulgaria",2014,"male","55-74 years",194,833666
"6168","Bulgaria",2014,"male","75+ years",120,227129
"6169","Cabo Verde",2011,"female","15-24 years",1,56039
"6170","Cabo Verde",2011,"female","25-34 years",0,38528
"6171","Cabo Verde",2011,"female","35-54 years",2,49078
"6172","Cabo Verde",2011,"female","5-14 years",0,56558
"6173","Cabo Verde",2011,"female","55-74 years",2,19887
"6174","Cabo Verde",2011,"female","75+ years",0,7582
"6175","Cabo Verde",2011,"male","15-24 years",5,57386
"6176","Cabo Verde",2011,"male","25-34 years",8,42962
"6177","Cabo Verde",2011,"male","35-54 years",18,47077
"6178","Cabo Verde",2011,"male","5-14 years",3,57301
"6179","Cabo Verde",2011,"male","55-74 years",1,14827
"6180","Cabo Verde",2011,"male","75+ years",2,4954
"6181","Canada",1979,"female","15-24 years",152,2300200
"6182","Canada",1979,"female","25-34 years",155,1962300
"6183","Canada",1979,"female","35-54 years",308,2603700
"6184","Canada",1979,"female","5-14 years",8,1856900
"6185","Canada",1979,"female","55-74 years",182,1826200
"6186","Canada",1979,"female","75+ years",31,503600
"6187","Canada",1979,"male","15-24 years",654,2372400
"6188","Canada",1979,"male","25-34 years",557,1970300
"6189","Canada",1979,"male","35-54 years",745,2628200
"6190","Canada",1979,"male","5-14 years",15,1950500
"6191","Canada",1979,"male","55-74 years",484,1613300
"6192","Canada",1979,"male","75+ years",64,320400
"6193","Canada",1980,"female","15-24 years",124,2304200
"6194","Canada",1980,"female","25-34 years",164,2024700
"6195","Canada",1980,"female","35-54 years",292,2639800
"6196","Canada",1980,"female","5-14 years",6,1811900
"6197","Canada",1980,"female","55-74 years",207,1875100
"6198","Canada",1980,"female","75+ years",31,524500
"6199","Canada",1980,"male","15-24 years",593,2387700
"6200","Canada",1980,"male","25-34 years",599,2030700
"6201","Canada",1980,"male","35-54 years",738,2668000
"6202","Canada",1980,"male","5-14 years",15,1904600
"6203","Canada",1980,"male","55-74 years",460,1650200
"6204","Canada",1980,"male","75+ years",126,331100
"6205","Canada",1981,"female","15-24 years",112,2302400
"6206","Canada",1981,"female","25-34 years",157,2110300
"6207","Canada",1981,"female","35-54 years",302,2713700
"6208","Canada",1981,"female","5-14 years",9,1801000
"6209","Canada",1981,"female","55-74 years",211,1934300
"6210","Canada",1981,"female","75+ years",40,544300
"6211","Canada",1981,"male","15-24 years",640,2356300
"6212","Canada",1981,"male","25-34 years",555,2105900
"6213","Canada",1981,"male","35-54 years",746,2753400
"6214","Canada",1981,"male","5-14 years",26,1896600
"6215","Canada",1981,"male","55-74 years",495,1702600
"6216","Canada",1981,"male","75+ years",107,339000
"6217","Canada",1982,"female","15-24 years",108,2371000
"6218","Canada",1982,"female","25-34 years",172,2082000
"6219","Canada",1982,"female","35-54 years",293,2715000
"6220","Canada",1982,"female","5-14 years",4,1864000
"6221","Canada",1982,"female","55-74 years",193,1930000
"6222","Canada",1982,"female","75+ years",25,539000
"6223","Canada",1982,"male","15-24 years",627,2456000
"6224","Canada",1982,"male","25-34 years",658,2089000
"6225","Canada",1982,"male","35-54 years",799,2745000
"6226","Canada",1982,"male","5-14 years",24,1960000
"6227","Canada",1982,"male","55-74 years",524,1697000
"6228","Canada",1982,"male","75+ years",90,341000
"6229","Canada",1983,"female","15-24 years",101,2235100
"6230","Canada",1983,"female","25-34 years",177,2183900
"6231","Canada",1983,"female","35-54 years",333,2875400
"6232","Canada",1983,"female","5-14 years",3,1772300
"6233","Canada",1983,"female","55-74 years",219,2021100
"6234","Canada",1983,"female","75+ years",37,593400
"6235","Canada",1983,"male","15-24 years",661,2302400
"6236","Canada",1983,"male","25-34 years",692,2171400
"6237","Canada",1983,"male","35-54 years",804,2910600
"6238","Canada",1983,"male","5-14 years",20,1867400
"6239","Canada",1983,"male","55-74 years",566,1776200
"6240","Canada",1983,"male","75+ years",142,363900
"6241","Canada",1984,"female","15-24 years",94,2190000
"6242","Canada",1984,"female","25-34 years",156,2218800
"6243","Canada",1984,"female","35-54 years",288,2952900
"6244","Canada",1984,"female","5-14 years",4,1760900
"6245","Canada",1984,"female","55-74 years",200,2055500
"6246","Canada",1984,"female","75+ years",36,617300
"6247","Canada",1984,"male","15-24 years",610,2265000
"6248","Canada",1984,"male","25-34 years",612,2203100
"6249","Canada",1984,"male","35-54 years",796,2981100
"6250","Canada",1984,"male","5-14 years",24,1854700
"6251","Canada",1984,"male","55-74 years",495,1808400
"6252","Canada",1984,"male","75+ years",124,375500
"6253","Canada",1985,"female","15-24 years",85,2143200
"6254","Canada",1985,"female","25-34 years",148,2257500
"6255","Canada",1985,"female","35-54 years",255,3025600
"6256","Canada",1985,"female","5-14 years",5,1751000
"6257","Canada",1985,"female","55-74 years",166,2092200
"6258","Canada",1985,"female","75+ years",34,642900
"6259","Canada",1985,"male","15-24 years",560,2224600
"6260","Canada",1985,"male","25-34 years",605,2240500
"6261","Canada",1985,"male","35-54 years",774,3046800
"6262","Canada",1985,"male","5-14 years",13,1844400
"6263","Canada",1985,"male","55-74 years",502,1841000
"6264","Canada",1985,"male","75+ years",111,390200
"6265","Canada",1986,"female","15-24 years",109,2061500
"6266","Canada",1986,"female","25-34 years",172,2278400
"6267","Canada",1986,"female","35-54 years",307,3087900
"6268","Canada",1986,"female","5-14 years",5,1744900
"6269","Canada",1986,"female","55-74 years",191,2115500
"6270","Canada",1986,"female","75+ years",36,653100
"6271","Canada",1986,"male","15-24 years",570,2116700
"6272","Canada",1986,"male","25-34 years",719,2248800
"6273","Canada",1986,"male","35-54 years",878,3098100
"6274","Canada",1986,"male","5-14 years",20,1836900
"6275","Canada",1986,"male","55-74 years",520,1862900
"6276","Canada",1986,"male","75+ years",143,394400
"6277","Canada",1987,"female","15-24 years",100,2019400
"6278","Canada",1987,"female","25-34 years",178,2317300
"6279","Canada",1987,"female","35-54 years",298,3176700
"6280","Canada",1987,"female","5-14 years",5,1752800
"6281","Canada",1987,"female","55-74 years",171,2148300
"6282","Canada",1987,"female","75+ years",47,679400
"6283","Canada",1987,"male","15-24 years",532,2085000
"6284","Canada",1987,"male","25-34 years",709,2290800
"6285","Canada",1987,"male","35-54 years",874,3179200
"6286","Canada",1987,"male","5-14 years",25,1843600
"6287","Canada",1987,"male","55-74 years",535,1896900
"6288","Canada",1987,"male","75+ years",117,408700
"6289","Canada",1988,"female","15-24 years",96,1968700
"6290","Canada",1988,"female","25-34 years",168,2350300
"6291","Canada",1988,"female","35-54 years",322,3274100
"6292","Canada",1988,"female","5-14 years",4,1763800
"6293","Canada",1988,"female","55-74 years",142,2175900
"6294","Canada",1988,"female","75+ years",44,708300
"6295","Canada",1988,"male","15-24 years",549,2041900
"6296","Canada",1988,"male","25-34 years",679,2326400
"6297","Canada",1988,"male","35-54 years",827,3266900
"6298","Canada",1988,"male","5-14 years",24,1854500
"6299","Canada",1988,"male","55-74 years",525,1924900
"6300","Canada",1988,"male","75+ years",130,424900
"6301","Canada",1989,"female","15-24 years",91,1919500
"6302","Canada",1989,"female","25-34 years",174,2371500
"6303","Canada",1989,"female","35-54 years",322,3384300
"6304","Canada",1989,"female","5-14 years",6,1779400
"6305","Canada",1989,"female","55-74 years",163,2195700
"6306","Canada",1989,"female","75+ years",40,741000
"6307","Canada",1989,"male","15-24 years",528,1997200
"6308","Canada",1989,"male","25-34 years",666,2352400
"6309","Canada",1989,"male","35-54 years",850,3366100
"6310","Canada",1989,"male","5-14 years",19,1870700
"6311","Canada",1989,"male","55-74 years",501,1946000
"6312","Canada",1989,"male","75+ years",131,444600
"6313","Canada",1990,"female","15-24 years",94,1888000
"6314","Canada",1990,"female","25-34 years",154,2388600
"6315","Canada",1990,"female","35-54 years",293,3506700
"6316","Canada",1990,"female","5-14 years",7,1798200
"6317","Canada",1990,"female","55-74 years",125,2216700
"6318","Canada",1990,"female","75+ years",32,768500
"6319","Canada",1990,"male","15-24 years",484,1970600
"6320","Canada",1990,"male","25-34 years",703,2372600
"6321","Canada",1990,"male","35-54 years",884,3483200
"6322","Canada",1990,"male","5-14 years",23,1882100
"6323","Canada",1990,"male","55-74 years",430,1969600
"6324","Canada",1990,"male","75+ years",149,459600
"6325","Canada",1991,"female","15-24 years",76,1886900
"6326","Canada",1991,"female","25-34 years",177,2446400
"6327","Canada",1991,"female","35-54 years",271,3674300
"6328","Canada",1991,"female","5-14 years",9,1844900
"6329","Canada",1991,"female","55-74 years",154,2263200
"6330","Canada",1991,"female","75+ years",31,795900
"6331","Canada",1991,"male","15-24 years",539,1943600
"6332","Canada",1991,"male","25-34 years",713,2420300
"6333","Canada",1991,"male","35-54 years",974,3663400
"6334","Canada",1991,"male","5-14 years",20,1941100
"6335","Canada",1991,"male","55-74 years",490,2031500
"6336","Canada",1991,"male","75+ years",139,478900
"6337","Canada",1992,"female","15-24 years",119,1969200
"6338","Canada",1992,"female","25-34 years",155,2499900
"6339","Canada",1992,"female","35-54 years",323,3857500
"6340","Canada",1992,"female","5-14 years",8,1903100
"6341","Canada",1992,"female","55-74 years",146,2313800
"6342","Canada",1992,"female","75+ years",35,834600
"6343","Canada",1992,"male","15-24 years",504,2042300
"6344","Canada",1992,"male","25-34 years",739,2561600
"6345","Canada",1992,"male","35-54 years",1020,3889500
"6346","Canada",1992,"male","5-14 years",26,1995400
"6347","Canada",1992,"male","55-74 years",497,2087600
"6348","Canada",1992,"male","75+ years",136,499900
"6349","Canada",1993,"female","15-24 years",93,1978900
"6350","Canada",1993,"female","25-34 years",146,2501800
"6351","Canada",1993,"female","35-54 years",331,4013200
"6352","Canada",1993,"female","5-14 years",18,1920900
"6353","Canada",1993,"female","55-74 years",146,2348500
"6354","Canada",1993,"female","75+ years",55,858000
"6355","Canada",1993,"male","15-24 years",488,2054700
"6356","Canada",1993,"male","25-34 years",721,2568700
"6357","Canada",1993,"male","35-54 years",1141,4049700
"6358","Canada",1993,"male","5-14 years",27,2009100
"6359","Canada",1993,"male","55-74 years",499,2127800
"6360","Canada",1993,"male","75+ years",138,513400
"6361","Canada",1994,"female","15-24 years",105,1972200
"6362","Canada",1994,"female","25-34 years",135,2460500
"6363","Canada",1994,"female","35-54 years",339,4145800
"6364","Canada",1994,"female","5-14 years",12,1936800
"6365","Canada",1994,"female","55-74 years",152,2380300
"6366","Canada",1994,"female","75+ years",37,884500
"6367","Canada",1994,"male","15-24 years",506,2048800
"6368","Canada",1994,"male","25-34 years",636,2523000
"6369","Canada",1994,"male","35-54 years",1150,4177400
"6370","Canada",1994,"male","5-14 years",37,2024800
"6371","Canada",1994,"male","55-74 years",479,2164400
"6372","Canada",1994,"male","75+ years",160,527500
"6373","Canada",1995,"female","15-24 years",96,1972700
"6374","Canada",1995,"female","25-34 years",141,2431800
"6375","Canada",1995,"female","35-54 years",363,4287400
"6376","Canada",1995,"female","5-14 years",21,1956700
"6377","Canada",1995,"female","55-74 years",157,2403700
"6378","Canada",1995,"female","75+ years",34,921200
"6379","Canada",1995,"male","15-24 years",507,2051200
"6380","Canada",1995,"male","25-34 years",744,2489100
"6381","Canada",1995,"male","35-54 years",1264,4316200
"6382","Canada",1995,"male","5-14 years",22,2045200
"6383","Canada",1995,"male","55-74 years",473,2193400
"6384","Canada",1995,"male","75+ years",146,549900
"6385","Canada",1996,"female","15-24 years",91,1964700
"6386","Canada",1996,"female","25-34 years",137,2346000
"6387","Canada",1996,"female","35-54 years",434,4396400
"6388","Canada",1996,"female","5-14 years",9,1961800
"6389","Canada",1996,"female","55-74 years",144,2417100
"6390","Canada",1996,"female","75+ years",33,935900
"6391","Canada",1996,"male","15-24 years",490,2058900
"6392","Canada",1996,"male","25-34 years",630,2399900
"6393","Canada",1996,"male","35-54 years",1273,4393100
"6394","Canada",1996,"male","5-14 years",32,2064700
"6395","Canada",1996,"male","55-74 years",506,2212300
"6396","Canada",1996,"male","75+ years",162,555800
"6397","Canada",1997,"female","15-24 years",90,1980900
"6398","Canada",1997,"female","25-34 years",136,2308000
"6399","Canada",1997,"female","35-54 years",356,4525500
"6400","Canada",1997,"female","5-14 years",12,1980800
"6401","Canada",1997,"female","55-74 years",131,2446100
"6402","Canada",1997,"female","75+ years",42,970900
"6403","Canada",1997,"male","15-24 years",464,2076000
"6404","Canada",1997,"male","25-34 years",535,2359600
"6405","Canada",1997,"male","35-54 years",1230,4525200
"6406","Canada",1997,"male","5-14 years",39,2084500
"6407","Canada",1997,"male","55-74 years",490,2249500
"6408","Canada",1997,"male","75+ years",156,578100
"6409","Canada",1998,"female","15-24 years",105,1993396
"6410","Canada",1998,"female","25-34 years",133,2251763
"6411","Canada",1998,"female","35-54 years",341,4634299
"6412","Canada",1998,"female","5-14 years",16,1989150
"6413","Canada",1998,"female","55-74 years",129,2483325
"6414","Canada",1998,"female","75+ years",50,1003373
"6415","Canada",1998,"male","15-24 years",457,2090656
"6416","Canada",1998,"male","25-34 years",568,2301724
"6417","Canada",1998,"male","35-54 years",1226,4637556
"6418","Canada",1998,"male","5-14 years",30,2094080
"6419","Canada",1998,"male","55-74 years",497,2294107
"6420","Canada",1998,"male","75+ years",147,599107
"6421","Canada",1999,"female","15-24 years",90,2014044
"6422","Canada",1999,"female","25-34 years",118,2206484
"6423","Canada",1999,"female","35-54 years",435,4736367
"6424","Canada",1999,"female","5-14 years",7,1992889
"6425","Canada",1999,"female","55-74 years",147,2523439
"6426","Canada",1999,"female","75+ years",53,1037189
"6427","Canada",1999,"male","15-24 years",468,2112560
"6428","Canada",1999,"male","25-34 years",614,2254396
"6429","Canada",1999,"male","35-54 years",1442,4743615
"6430","Canada",1999,"male","5-14 years",25,2098556
"6431","Canada",1999,"male","55-74 years",520,2341132
"6432","Canada",1999,"male","75+ years",155,620972
"6433","Canada",2000,"female","15-24 years",112,2030972
"6434","Canada",2000,"female","25-34 years",119,2177984
"6435","Canada",2000,"female","35-54 years",393,4830067
"6436","Canada",2000,"female","5-14 years",17,1996147
"6437","Canada",2000,"female","55-74 years",137,2567097
"6438","Canada",2000,"female","75+ years",30,1071636
"6439","Canada",2000,"male","15-24 years",430,2131117
"6440","Canada",2000,"male","25-34 years",484,2226742
"6441","Canada",2000,"male","35-54 years",1254,4840239
"6442","Canada",2000,"male","5-14 years",29,2101448
"6443","Canada",2000,"male","55-74 years",455,2390741
"6444","Canada",2000,"male","75+ years",146,644375
"6445","Canada",2001,"female","15-24 years",105,2059190
"6446","Canada",2001,"female","25-34 years",114,2130957
"6447","Canada",2001,"female","35-54 years",392,4894497
"6448","Canada",2001,"female","5-14 years",13,1998430
"6449","Canada",2001,"female","55-74 years",161,2618587
"6450","Canada",2001,"female","75+ years",38,1096205
"6451","Canada",2001,"male","15-24 years",398,2168038
"6452","Canada",2001,"male","25-34 years",500,2182409
"6453","Canada",2001,"male","35-54 years",1347,4892041
"6454","Canada",2001,"male","5-14 years",14,2096912
"6455","Canada",2001,"male","55-74 years",481,2458947
"6456","Canada",2001,"male","75+ years",131,665842
"6457","Canada",2002,"female","15-24 years",108,2084984
"6458","Canada",2002,"female","25-34 years",124,2142391
"6459","Canada",2002,"female","35-54 years",370,4929966
"6460","Canada",2002,"female","5-14 years",17,1997372
"6461","Canada",2002,"female","55-74 years",150,2707035
"6462","Canada",2002,"female","75+ years",30,1126677
"6463","Canada",2002,"male","15-24 years",384,2192632
"6464","Canada",2002,"male","25-34 years",466,2194450
"6465","Canada",2002,"male","35-54 years",1292,4926984
"6466","Canada",2002,"male","5-14 years",18,2097593
"6467","Canada",2002,"male","55-74 years",527,2550479
"6468","Canada",2002,"male","75+ years",164,691551
"6469","Canada",2003,"female","15-24 years",113,2103731
"6470","Canada",2003,"female","25-34 years",114,2151969
"6471","Canada",2003,"female","35-54 years",438,4956221
"6472","Canada",2003,"female","5-14 years",8,1987896
"6473","Canada",2003,"female","55-74 years",145,2792599
"6474","Canada",2003,"female","75+ years",44,1156073
"6475","Canada",2003,"male","15-24 years",409,2211023
"6476","Canada",2003,"male","25-34 years",426,2205120
"6477","Canada",2003,"male","35-54 years",1317,4950960
"6478","Canada",2003,"male","5-14 years",19,2087408
"6479","Canada",2003,"male","55-74 years",581,2636917
"6480","Canada",2003,"male","75+ years",151,718916
"6481","Canada",2004,"female","15-24 years",101,2124167
"6482","Canada",2004,"female","25-34 years",114,2169563
"6483","Canada",2004,"female","35-54 years",428,4986017
"6484","Canada",2004,"female","5-14 years",11,1971134
"6485","Canada",2004,"female","55-74 years",181,2879432
"6486","Canada",2004,"female","75+ years",44,1183549
"6487","Canada",2004,"male","15-24 years",379,2230355
"6488","Canada",2004,"male","25-34 years",477,2220407
"6489","Canada",2004,"male","35-54 years",1210,4982932
"6490","Canada",2004,"male","5-14 years",17,2069874
"6491","Canada",2004,"male","55-74 years",497,2721795
"6492","Canada",2004,"male","75+ years",154,744741
"6493","Canada",2005,"female","15-24 years",131,2144094
"6494","Canada",2005,"female","25-34 years",96,2188897
"6495","Canada",2005,"female","35-54 years",418,5018764
"6496","Canada",2005,"female","5-14 years",25,1947297
"6497","Canada",2005,"female","55-74 years",158,2961910
"6498","Canada",2005,"female","75+ years",58,1211769
"6499","Canada",2005,"male","15-24 years",378,2249377
"6500","Canada",2005,"male","25-34 years",415,2236320
"6501","Canada",2005,"male","35-54 years",1341,5018957
"6502","Canada",2005,"male","5-14 years",19,2044772
"6503","Canada",2005,"male","55-74 years",539,2802901
"6504","Canada",2005,"male","75+ years",165,772032
"6505","Canada",2006,"female","15-24 years",86,2179623
"6506","Canada",2006,"female","25-34 years",118,2177957
"6507","Canada",2006,"female","35-54 years",362,5021174
"6508","Canada",2006,"female","5-14 years",18,1920311
"6509","Canada",2006,"female","55-74 years",187,3071300
"6510","Canada",2006,"female","75+ years",46,1241475
"6511","Canada",2006,"male","15-24 years",331,2288073
"6512","Canada",2006,"male","25-34 years",362,2220384
"6513","Canada",2006,"male","35-54 years",1202,5050497
"6514","Canada",2006,"male","5-14 years",13,2014856
